name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,epoch,time
RAF-DB,last,models/tests/RAF-DB/RAF-DB_0,0.8159244656562805,0.5092505216598511,0.8617647290229797,0.4053459763526916,0.0001,0.1,1e-05,0.1,10,5,32,67,2002.6417545
RAF-DB,last,models/tests/RAF-DB/RAF-DB_1,0.8410468697547913,0.4577755630016327,0.8903361558914185,0.3360977172851562,0.0001,0.1,1e-06,0.1,10,5,32,88,2533.6387538
RAF-DB,last,models/tests/RAF-DB/RAF-DB_2,0.8324201703071594,0.4749947488307953,0.8735294342041016,0.3745724558830261,0.0001,0.1,1e-07,0.1,10,5,32,90,2665.5426431
RAF-DB,last,models/tests/RAF-DB/RAF-DB_3,0.8378992676734924,0.4654240310192108,0.8865545988082886,0.3518792986869812,0.0001,0.1,1e-05,0.2,10,5,32,67,2042.289088200001
RAF-DB,last,models/tests/RAF-DB/RAF-DB_4,0.8817323446273804,0.3796910047531128,0.9147058725357056,0.3057534992694855,0.0001,0.1,1e-06,0.2,10,5,32,129,4092.0664285
RAF-DB,last,models/tests/RAF-DB/RAF-DB_5,0.8293308615684509,0.4819880127906799,0.8739495873451233,0.3645128011703491,0.0001,0.1,1e-07,0.2,10,5,32,74,2536.285468500002
RAF-DB,last,models/tests/RAF-DB/RAF-DB_6,0.8399393558502197,0.4584738612174988,0.8798319101333618,0.3566527664661407,0.0001,0.1,1e-05,0.3,10,5,32,79,2456.2877778
RAF-DB,last,models/tests/RAF-DB/RAF-DB_7,0.8527628779411316,0.4316953718662262,0.902521014213562,0.3231877088546753,0.0001,0.1,1e-06,0.3,10,5,32,87,3105.927037199999
RAF-DB,last,models/tests/RAF-DB/RAF-DB_8,0.852180004119873,0.4290268719196319,0.889915943145752,0.3338278234004974,0.0001,0.1,1e-07,0.3,10,5,32,89,3123.3230142
RAF-DB,last,models/tests/RAF-DB/RAF-DB_9,0.8335859179496765,0.4812479019165039,0.8869748115539551,0.3613463044166565,0.0001,0.2,1e-05,0.1,10,5,32,93,3716.161252800001
RAF-DB,last,models/tests/RAF-DB/RAF-DB_10,0.8310794830322266,0.4882976412773132,0.8789916038513184,0.3764699101448059,0.0001,0.2,1e-06,0.1,10,5,32,85,3393.290811699997
RAF-DB,last,models/tests/RAF-DB/RAF-DB_11,0.8369083404541016,0.4732647836208343,0.88067227602005,0.364481508731842,0.0001,0.2,1e-07,0.1,10,5,32,95,4357.617675499998
RAF-DB,last,models/tests/RAF-DB/RAF-DB_12,0.8251340389251709,0.4876640439033508,0.8920168280601501,0.3498962819576263,0.0001,0.2,1e-05,0.2,10,5,32,79,3806.534775400003
RAF-DB,last,models/tests/RAF-DB/RAF-DB_13,0.8145838379859924,0.5140033960342407,0.8613445162773132,0.4035704433917999,0.0001,0.2,1e-06,0.2,10,5,32,79,4312.756916700004
RAF-DB,last,models/tests/RAF-DB/RAF-DB_14,0.8244345784187317,0.5009867548942566,0.8659663796424866,0.3957751989364624,0.0001,0.2,1e-07,0.2,10,5,32,80,5057.677102499998
RAF-DB,last,models/tests/RAF-DB/RAF-DB_15,0.8355677127838135,0.467839628458023,0.8836134672164917,0.3425832986831665,0.0001,0.2,1e-05,0.3,10,5,32,98,5723.718539999994
RAF-DB,last,models/tests/RAF-DB/RAF-DB_16,0.8496735692024231,0.441068172454834,0.8974789977073669,0.3234860897064209,0.0001,0.2,1e-06,0.3,10,5,32,104,6782.639631599996
RAF-DB,last,models/tests/RAF-DB/RAF-DB_18,0.8806831240653992,0.363851398229599,0.9155783653259276,0.2739767432212829,0.0001,0.2,1e-07,0.3,10,5,32,89,5641.127886300004
RAF-DB,last,models/tests/RAF-DB/RAF-DB_19,0.8057239651679993,0.5383777022361755,0.8596082329750061,0.4074732959270477,0.0001,0.5,1e-05,0.1,10,5,32,91,5824.569185600005
RAF-DB,last,models/tests/RAF-DB/RAF-DB_20,0.8239099979400635,0.5077641606330872,0.8766324520111084,0.3852945864200592,0.0001,0.5,1e-06,0.1,10,5,32,109,7041.254939899998
RAF-DB,last,models/tests/RAF-DB/RAF-DB_21,0.8181394338607788,0.5121513605117798,0.8740671873092651,0.371937483549118,0.0001,0.5,1e-07,0.1,10,5,32,114,7568.630663299991
RAF-DB,last,models/tests/RAF-DB/RAF-DB_22,0.8200629353523254,0.5049558281898499,0.8689365386962891,0.3782700598239898,0.0001,0.5,1e-05,0.2,10,5,32,112,9696.227688600004
RAF-DB,last,models/tests/RAF-DB/RAF-DB_23,0.8067731261253357,0.5289697051048279,0.8612406849861145,0.3860941529273987,0.0001,0.5,1e-06,0.2,10,5,32,123,8535.160031099993
RAF-DB,last,models/tests/RAF-DB/RAF-DB_24,0.8234437108039856,0.507366418838501,0.8812966346740723,0.3684669733047485,0.0001,0.5,1e-07,0.2,10,5,32,72,5184.59147900001
RAF-DB,last,models/tests/RAF-DB/RAF-DB_25,0.8258917927742004,0.4851136207580566,0.8822295069694519,0.3450961410999298,0.0001,0.5,1e-05,0.3,10,5,32,94,6813.293870100009
RAF-DB,last,models/tests/RAF-DB/RAF-DB_26,0.8169736266136169,0.5131752490997314,0.8768656849861145,0.3756244778633117,0.0001,0.5,1e-06,0.3,10,5,32,104,8091.409625700006
RAF-DB,last,models/tests/RAF-DB/RAF-DB_27,0.8243180513381958,0.4880663752555847,0.886893630027771,0.3415272831916809,0.0001,0.5,1e-07,0.3,10,5,32,93,7354.88366610001
